comments,label
🔥,1
👏,1
자켓정보알수있나요,0
헤어 곱창 정보 알고싶어요,0
언제업뎃되요??,0
바지 이름이 뭔가용!,0
로고포인트 완전 멋지신걸요😮🔥,1
캐주얼한 코디 예쁘네용👏,1
오늘은 빨리 퇴근하는날ㅎ,1
이번에도 조심히 넘어가길😢,0
카눈 조심🔥,0
반바지와 매치하기 딱 좋은 핏이라 잘 어우러지네용🫢,1
깔끔한 로고 포인트🔥,1
날아가지않게 조심하세요 😢😢,1
"You nailed it hun😍🔥 And you came up with the best shot of yourself in this picture. In fact, that's perfect fit for our brand. So, DM me to receive gifts for FREE of your own choice from us😊💕",1
타이푼🌀,0
웃는거 넘이뿌당,1
👏💋😍,1
여름옷도 아직 마음껏 못샀는데.. 이제 신나게 가을옷을 골라봐야겠군요 🙌🙌🙌,1
기대즁 !!!!!,1
눈웃음 귀염뽀짝이네요🙋🏻‍♂️,1
귀여운 욱잉,1
바지 너무 이뻐요,1
세상에 웃는거.....,1
귀요미네 우기,1
청바지 업데이트 된건가요?,1
🖖,1
🔥,1
❤,1
이거야!,1
이벤트 추첨 결과나왔나용,1
❤️,1
❤️💗💖❤️💖💗💖❤️💖💗💖❤️💗💖❤️💗💖❤️💖💗💖❤️💖❤️,1
❤️💖💗❤️💖💗💖❤️💖💗💖❤️❤️💖❣️💖💖💗💖❤️💖💗❤️💗💖❤️,1
❤️,1
❤️,1
❤️,1
❤️,1
❤️,1
❤️,1
❤️,1
❤️,1
❤️,1
정말 좋아하는 애정하는 최애하는 디자인이라 몇장은 직접 구매를...😆,1
최애 티셔츠 중 하나..🍀,1
🔥,1
🤙,1
"Amazing image, we 'd  enjoy to  collaborate with you for much more  details message our  major account in mybio",1
바로 구매!,1
🔥,1
🔥,1
정상적인 사진 보기 쉽지않네,0
우아 사람이다,0
눈 뜬거가,0
🔫,1
ㅋㅋㅋㅋㅋㅋㅋㅋ 욕나오네,0
와 지금 주문하러갑니당...❣️,1
🔥,1
준원아! 남자는 뭐다? 자신감!,1
🔥,1
🔥,1
오늘 와드가 버피 박스점프오버였는데요... 하다가 정강이 피볼뻔했던 순간이 몇번있었네요...다 싫은데 버피 제일 싫은데 나는 왜 크로스핏을 하고있는지 ... 왜 다음날 와드가 뭘까 설레어하는지.. 암튼 이건 병인것같아요.. 완전 쪼랩인데..,0
쓰러스터 잘하는 사람이 크로스핏 잘하더라구요,1
버피만드신 분 지옥가서 꼭 들숨/날숨에 버피하세요☺️,1
🔥,1
고인물이 생각하는 꽃은 당근 역도겠죠?,1
🕳️,1
🕳️,1
@_b._.gle_ @jjungbong2 @hyeseung_yoon @nyeong_hong @c_jw_97 카키그라도 매니아들 레쭈고,1
🔥,1
@yechani_p @kkyoung_min @mi.__.zzzii @joosoojin @jellybreaker @zaranara_kkk @seoughyeok 오픈짐때 ㄱ🔥,1
@jolly.jee 난 카키그하도없지만 둘이열시미 올려ㅛㅓ 양말받게해조!,1
